time,accel_angle,gyro_angle
17.700001,-0.896918,-0.917566
17.799999,-0.907547,-0.928538
17.900000,-0.914691,-0.936474
18.000000,-0.914044,-0.939404
18.100000,-0.931448,-0.946914
18.200001,-0.930264,-0.944357
18.299999,-0.920527,-0.945209
18.400000,-0.923408,-0.944251
18.500000,-0.931711,-0.944890
18.600000,-0.924742,-0.947500
18.700001,-0.932155,-0.946008
18.799999,-0.921827,-0.939244
18.900000,-0.917552,-0.933065
19.000000,-0.912792,-0.934823
19.100000,-0.918722,-0.936155
19.200001,-0.919209,-0.930189
19.299999,-0.901448,-0.915595
19.400000,-0.876992,-0.901054
19.500000,-0.875553,-0.889017
19.600000,-0.861031,-0.882465
19.700001,-0.859644,-0.869416
19.799999,-0.847286,-0.847045
19.900000,-0.798866,-0.822917
20.000000,-0.803516,-0.805660
20.100000,-0.766471,-0.779774
20.200001,-0.717102,-0.760120
20.299999,-0.746914,-0.745259
20.400000,-0.716600,-0.725073
20.500000,-0.683682,-0.701051
20.600000,-0.670129,-0.686403
20.700001,-0.653162,-0.669093
20.799999,-0.634917,-0.656469
20.900000,-0.630911,-0.646935
21.000000,-0.629961,-0.636336
21.100000,-0.598326,-0.624512
21.200001,-0.594257,-0.608479
21.299999,-0.571484,-0.591755
21.400000,-0.560471,-0.575136
21.500000,-0.541928,-0.562194
21.600000,-0.526604,-0.540089
21.700001,-0.503817,-0.524164
21.799999,-0.545788,-0.516973
21.900000,-0.489695,-0.496893
22.000000,-0.442340,-0.473297
22.100000,-0.452802,-0.451832
22.200001,-0.421340,-0.430154
22.299999,-0.387544,-0.409648
22.400000,-0.384538,-0.395267
22.500000,-0.382649,-0.381951
22.600000,-0.363661,-0.365013
22.700001,-0.348781,-0.353615
22.799999,-0.312070,-0.331191
22.900000,-0.304283,-0.317183
23.000000,-0.287009,-0.292575
23.100000,-0.249138,-0.264399
23.200001,-0.240540,-0.249965
23.299999,-0.220461,-0.227008
23.400000,-0.182934,-0.210283
23.500000,-0.183868,-0.200270
23.600000,-0.165437,-0.186688
23.700001,-0.155601,-0.175662
23.799999,-0.155768,-0.167513
23.900000,-0.133732,-0.148818
24.000000,-0.120933,-0.132466
24.100000,-0.099849,-0.115901
24.200001,-0.080207,-0.100774
24.299999,-0.067810,-0.089802
24.400000,-0.062204,-0.082239
24.500000,-0.063128,-0.078031
24.600000,-0.061699,-0.077285
24.700001,-0.051851,-0.074888
24.799999,-0.061497,-0.073876
24.900000,-0.049868,-0.072225
25.000000,-0.046414,-0.073610
25.100000,-0.059912,-0.072332
25.200001,-0.034239,-0.066100
25.299999,-0.048567,-0.065834
25.400000,-0.036489,-0.061892
25.500000,-0.034685,-0.060880
25.600000,-0.035287,-0.055873
25.700001,-0.023562,-0.054595
25.799999,-0.043916,-0.055873
25.900000,-0.027325,-0.049215
26.000000,-0.021666,-0.044049
26.100000,-0.025810,-0.041279
